source_sheet,SNP,CHR,BP,P,Base,Gene
gwas_wgs_prs_7E-4_SNPs,rs3135350,6,32392981,1.89534e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs10134231,14,36974588,1.91258e-05,1,SFTA3
gwas_wgs_prs_7E-4_SNPs,rs7955195,12,76252970,1.91642e-05,1,RP11-114H23.1
gwas_wgs_prs_7E-4_SNPs,rs7072348,10,90804528,1.94147e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs73274184,17,32755205,2.01553e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs302837,19,56414691,2.03718e-05,1,NLRP13
gwas_wgs_prs_7E-4_SNPs,rs72672873,4,124917697,2.07457e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs4909155,7,158046269,2.1045e-05,1,PTPRN2
gwas_wgs_prs_7E-4_SNPs,rs117957780,22,19030719,2.11183e-05,1,DGCR2
gwas_wgs_prs_7E-4_SNPs,rs34055828,10,121071065,2.1757e-05,1,GRK5
gwas_wgs_prs_7E-4_SNPs,rs56387623,3,23714754,2.29143e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs12215331,6,34644749,2.32999e-05,1,C6orf106
gwas_wgs_prs_7E-4_SNPs,rs57344881,11,1856344,2.33062e-05,1,SYT8
gwas_wgs_prs_7E-4_SNPs,rs34011530,11,1689461,2.36858e-05,1,AP006285.7
gwas_wgs_prs_7E-4_SNPs,rs716875,9,109520131,2.37995e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs3775378,4,89740078,2.44734e-05,1,FAM13A
gwas_wgs_prs_7E-4_SNPs,rs73997403,17,72046179,2.57559e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs2736106,5,1298782,2.58843e-05,1,TERT
gwas_wgs_prs_7E-4_SNPs,rs62231977,22,24550009,2.61617e-05,1,CABIN1
gwas_wgs_prs_7E-4_SNPs,rs456165,21,27832958,2.61835e-05,1,AP001597.1
gwas_wgs_prs_7E-4_SNPs,rs4699219,4,102380884,2.65971e-05,1,BANK1
gwas_wgs_prs_7E-4_SNPs,rs12949515,17,5562974,2.66506e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs56165879,13,111961663,2.68614e-05,1,ARHGEF7
gwas_wgs_prs_7E-4_SNPs,rs893889,18,68086457,2.69793e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs7595814,2,55325639,2.71131e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs77365260,1,67940533,2.72611e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs12153809,5,1508348,2.78275e-05,1,LPCAT1
gwas_wgs_prs_7E-4_SNPs,rs143110431,6,35534143,2.80695e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs36068220,7,144895122,2.88946e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs6537326,4,145955399,2.92376e-05,1,ANAPC10
gwas_wgs_prs_7E-4_SNPs,rs4515597,8,121588028,2.95224e-05,1,SNTB1
gwas_wgs_prs_7E-4_SNPs,rs77544170,18,69117685,2.95867e-05,1,-
gwas_wgs_prs_7E-4_SNPs,2:169285071,2,169285071,2.98014e-05,1,NA
gwas_wgs_prs_7E-4_SNPs,rs7567587,2,129203736,2.98699e-05,1,RNA5SP103
gwas_wgs_prs_7E-4_SNPs,rs9535423,13,50733606,2.98804e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs117750427,13,62807475,3.01303e-05,1,LINC01075
gwas_wgs_prs_7E-4_SNPs,rs6751277,2,5856780,3.01377e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs149640405,1,26382166,3.03561e-05,1,TRIM63
gwas_wgs_prs_7E-4_SNPs,rs116390713,15,41849686,3.09449e-05,1,TYRO3
gwas_wgs_prs_7E-4_SNPs,rs116791195,5,175964547,3.14161e-05,1,CDHR2
gwas_wgs_prs_7E-4_SNPs,rs115130892,6,430169,3.14577e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs9673178,16,28258151,3.16269e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs2829953,21,27231534,3.20762e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs11633335,15,66637997,3.26052e-05,1,TIPIN
gwas_wgs_prs_7E-4_SNPs,rs61825824,1,217976585,3.26471e-05,1,SPATA17
gwas_wgs_prs_7E-4_SNPs,rs35040337,17,66056682,3.27513e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs922928,8,79557320,3.44594e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs11668191,19,5845471,3.48166e-05,1,FUT3
gwas_wgs_prs_7E-4_SNPs,rs13198081,6,22017543,3.52493e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs56326940,11,1218524,3.65296e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs7324303,13,86329846,3.72177e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs61820993,1,202775658,3.72347e-05,1,KDM5B
gwas_wgs_prs_7E-4_SNPs,rs7308990,12,53264692,3.72532e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs144767730,7,121344124,3.72613e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs1417898,1,3385227,3.74059e-05,1,ARHGEF16
gwas_wgs_prs_7E-4_SNPs,rs3766684,1,175156464,3.74574e-05,1,KIAA0040
gwas_wgs_prs_7E-4_SNPs,rs35368210,19,47699707,3.94732e-05,1,SAE1
gwas_wgs_prs_7E-4_SNPs,rs11593211,10,68443844,3.99214e-05,1,CTNNA3
gwas_wgs_prs_7E-4_SNPs,rs114038262,19,28648881,4.05386e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs7041597,9,114701909,4.07077e-05,1,UGCG
gwas_wgs_prs_7E-4_SNPs,rs2726049,7,36200727,4.11923e-05,1,EEPD1
gwas_wgs_prs_7E-4_SNPs,rs75116201,10,131454518,4.2121e-05,1,MGMT
gwas_wgs_prs_7E-4_SNPs,rs7359630,17,6350525,4.26587e-05,1,FAM64A
gwas_wgs_prs_7E-4_SNPs,rs115156546,2,129037316,4.29712e-05,1,HS6ST1
gwas_wgs_prs_7E-4_SNPs,rs7946777,11,1737832,4.34856e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs114127305,4,86411871,4.42161e-05,1,ARHGAP24
gwas_wgs_prs_7E-4_SNPs,rs55825389,5,150360130,4.49845e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs117011991,20,16039381,4.52546e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs11154034,6,121825381,4.55169e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs56296898,8,17418465,4.5963e-05,1,SLC7A2
gwas_wgs_prs_7E-4_SNPs,rs148217483,16,21829412,4.60335e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs9353515,6,88687244,4.65942e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs79805129,3,169632062,4.66742e-05,1,SAMD7
gwas_wgs_prs_7E-4_SNPs,rs6089366,20,60987737,4.69499e-05,1,RBBP8NL
gwas_wgs_prs_7E-4_SNPs,rs74549822,1,105194499,4.7449e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs140406559,1,75136759,4.86131e-05,1,C1orf173
gwas_wgs_prs_7E-4_SNPs,rs111360488,4,114291775,4.87983e-05,1,ANK2
gwas_wgs_prs_7E-4_SNPs,rs10438956,18,40231266,4.91467e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs56824938,16,754477,4.97076e-05,1,FBXL16
gwas_wgs_prs_7E-4_SNPs,rs113114661,2,172173370,4.97237e-05,1,METTL8
gwas_wgs_prs_7E-4_SNPs,rs4584477,10,4345383,4.97456e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs16994133,4,37999876,5.02192e-05,1,TBC1D1
gwas_wgs_prs_7E-4_SNPs,rs2422278,2,64879668,5.03752e-05,1,SERTAD2
gwas_wgs_prs_7E-4_SNPs,rs6501290,17,67220097,5.047e-05,1,ABCA10
gwas_wgs_prs_7E-4_SNPs,rs9540178,13,34805763,5.06184e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs9414895,10,67048251,5.09322e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs76861443,6,110754407,5.11862e-05,1,SLC22A16
gwas_wgs_prs_7E-4_SNPs,rs7764540,6,156027720,5.19438e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs13195303,6,42488361,5.26408e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs113694148,7,2114617,5.32151e-05,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs16831235,2,135745129,5.36495e-05,1,MAP3K19
gwas_wgs_prs_7E-4_SNPs,rs11772516,7,151609134,5.4407e-05,1,Y_RNA
gwas_wgs_prs_7E-4_SNPs,rs6010676,20,62470580,5.44843e-05,1,AL158091.1
gwas_wgs_prs_7E-4_SNPs,rs17487079,4,165808366,5.4954e-05,1,RP11-366M4.3
gwas_wgs_prs_7E-4_SNPs,rs78002801,7,147488299,5.59359e-05,1,CNTNAP2
gwas_wgs_prs_7E-4_SNPs,rs455923,13,32596313,5.61653e-05,1,FRY-AS1
gwas_wgs_prs_7E-4_SNPs,rs113860561,18,45107035,5.64628e-05,1,CTD-2130O13.1
gwas_wgs_prs_7E-4_SNPs,rs904995,4,7301288,5.69136e-05,1,SORCS2
gwas_wgs_prs_7E-4_SNPs,rs4895570,6,139908614,5.71037e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs73248497,4,24824476,5.72737e-05,1,CCDC149
gwas_wgs_prs_7E-4_SNPs,rs10891434,11,112650920,5.77792e-05,1,-
